ons_code,name,mp,percsigned,Remain,polParty,EER17CD,EER17NM,partyColour
S14000044,Livingston,Hannah Bardell MP,2.615091256,56.7,Scottish National Party,S15000001,Scotland,#FEF987
S14000045,Midlothian,Danielle Rowley MP,3.189119821,62.1,Labour,S15000001,Scotland,#DC241f
S14000046,Moray,Douglas Ross MP,1.779321823,50.1,Conservative,S15000001,Scotland,#0087DC
S14000047,Motherwell and Wishaw,Marion Fellows MP,1.693512798,62.3,Scottish National Party,S15000001,Scotland,#FEF987
S14000048,North Ayrshire and Arran,Patricia Gibson MP,1.87405409,57.6,Scottish National Party,S15000001,Scotland,#FEF987
S14000049,North East Fife,Stephen Gethins MP,3.3203154,63.7,Scottish National Party,S15000001,Scotland,#FEF987
S14000050,Ochil and South Perthshire,Luke Graham MP,2.636502174,60.5,Conservative,S15000001,Scotland,#0087DC
S14000051,Orkney and Shetland,Rt Hon Alistair Carmichael MP,2.9304539,59.7,Liberal Democrat,S15000001,Scotland,#FAA61A
S14000052,Paisley and Renfrewshire North,Gavin Newlands MP,2.676998943,64.5,Scottish National Party,S15000001,Scotland,#FEF987
S14000053,Paisley and Renfrewshire South,Mhairi Black MP,2.434475879,65.2,Scottish National Party,S15000001,Scotland,#FEF987
S14000054,Perth and North Perthshire,Pete Wishart MP,2.431577126,60.1,Scottish National Party,S15000001,Scotland,#FEF987
S14000055,"Ross, Skye and Lochaber",Rt Hon Ian Blackford MP,3.391242912,56.5,Scottish National Party,S15000001,Scotland,#FEF987
S14000056,Rutherglen and Hamilton West,Ged Killen MP,2.398181927,62.4,Labour,S15000001,Scotland,#DC241f
S14000057,Stirling,Stephen Kerr MP,3.718811612,67.7,Conservative,S15000001,Scotland,#0087DC
S14000058,West Aberdeenshire and Kincardine,Andrew Bowie MP,3.230387408,60.8,Conservative,S15000001,Scotland,#0087DC
S14000059,West Dunbartonshire,Martin Docherty-Hughes MP,1.957841789,62,Scottish National Party,S15000001,Scotland,#FEF987
W07000041,Ynys Môn,Albert Owen MP,1.78656968,49.1,Labour,W08000001,Wales,#DC241f
W07000042,Delyn,Rt Hon David Hanson MP,1.739364084,45.6,Labour,W08000001,Wales,#DC241f
W07000043,Alyn and Deeside,Rt Hon Mark Tami MP,1.696829218,41.9,Labour,W08000001,Wales,#DC241f
W07000044,Wrexham,Ian C. Lucas MP,1.451357954,42.4,Labour,W08000001,Wales,#DC241f
W07000045,Llanelli,Nia Griffith MP,1.40750363,43.3,Labour,W08000001,Wales,#DC241f
W07000046,Gower,Tonia Antoniazzi MP,2.271832738,50.7,Labour,W08000001,Wales,#DC241f
W07000047,Swansea West,Geraint Davies MP,2.410380534,56.6,Labour,W08000001,Wales,#DC241f
W07000048,Swansea East,Carolyn Harris MP,1.240981686,38.2,Labour,W08000001,Wales,#DC241f
W07000049,Aberavon,Stephen Kinnock MP,1.201646091,39.9,Labour,W08000001,Wales,#DC241f
W07000050,Cardiff Central,Jo Stevens MP,3.666245259,68,Labour,W08000001,Wales,#DC241f
W07000051,Cardiff North,Anna McMorrin MP,3.828498742,60.9,Labour,W08000001,Wales,#DC241f
W07000052,Rhondda,Chris Bryant MP,1.03070295,39.6,Labour,W08000001,Wales,#DC241f
W07000053,Torfaen,Nick Thomas-Symonds MP,1.211245523,39.2,Labour,W08000001,Wales,#DC241f
W07000054,Monmouth,David T. C. Davies MP,2.680081406,51.9,Conservative,W08000001,Wales,#0087DC
W07000055,Newport East,Jessica Morden MP,1.55737836,40.7,Labour,W08000001,Wales,#DC241f
W07000056,Newport West,None,2.031327192,46.3,None,W08000001,Wales,#EEEEEE
W07000057,Arfon,Hywel Williams MP,3.273600961,64.2,Plaid Cymru,W08000001,Wales,#008142
W07000058,Aberconwy,Guto Bebb MP,1.998596028,47.8,Conservative,W08000001,Wales,#0087DC
W07000059,Clwyd West,Rt Hon David Jones MP,1.812296643,47,Conservative,W08000001,Wales,#0087DC
W07000060,Vale of Clwyd,Chris Ruane MP,1.448589116,43.4,Labour,W08000001,Wales,#DC241f
W07000061,Dwyfor Meirionnydd,Rt Hon Liz Saville Roberts MP,1.990592812,52.6,Plaid Cymru,W08000001,Wales,#008142
W07000062,Clwyd South,Susan Elan Jones MP,1.472521693,40.1,Labour,W08000001,Wales,#DC241f
W07000063,Montgomeryshire,Glyn Davies MP,1.97255908,44.2,Conservative,W08000001,Wales,#0087DC
W07000064,Ceredigion,Ben Lake MP,3.153649905,54.6,Plaid Cymru,W08000001,Wales,#008142
W07000065,Preseli Pembrokeshire,Rt Hon Stephen Crabb MP,1.774596252,44.7,Conservative,W08000001,Wales,#0087DC
W07000066,Carmarthen West and South Pembrokeshire,Simon Hart MP,1.76156074,44.8,Conservative,W08000001,Wales,#0087DC
W07000067,Carmarthen East and Dinefwr,Jonathan Edwards MP,1.913908421,46.8,Plaid Cymru,W08000001,Wales,#008142
W07000068,Brecon and Radnorshire,Chris Davies MP,2.411250154,48.1,Conservative,W08000001,Wales,#0087DC
W07000069,Neath,Christina Rees MP,1.375915597,46,Labour,W08000001,Wales,#DC241f
W07000070,Cynon Valley,Rt Hon Ann Clwyd MP,1.098664369,43.3,Labour,W08000001,Wales,#DC241f
W07000071,Merthyr Tydfil and Rhymney,Gerald Jones MP,1.017756605,41.6,Labour,W08000001,Wales,#DC241f
W07000072,Blaenau Gwent,Nick Smith MP,0.772469405,38,Labour,W08000001,Wales,#DC241f
W07000073,Bridgend,Mrs Madeleine Moon MP,1.644311751,49.7,Labour,W08000001,Wales,#DC241f
W07000074,Ogmore,Chris Elmore MP,1.336354085,41.1,Labour,W08000001,Wales,#DC241f
W07000075,Pontypridd,Owen Smith MP,2.049406147,53.5,Labour,W08000001,Wales,#DC241f
W07000076,Caerphilly,Wayne David MP,1.603921341,44.9,Labour,W08000001,Wales,#DC241f
W07000077,Islwyn,Chris Evans MP,1.220999209,41.1,Labour,W08000001,Wales,#DC241f
W07000078,Vale of Glamorgan,Rt Hon Alun Cairns MP,2.248290571,47.4,Conservative,W08000001,Wales,#0087DC
W07000079,Cardiff West,Kevin Brennan MP,4.058480021,56.2,Labour,W08000001,Wales,#DC241f
W07000080,Cardiff South and Penarth,Stephen Doughty MP,3.153764062,57.2,Labour,W08000001,Wales,#DC241f
