"ons_code","name","mp","percsigned","Remain","polParty","EER17CD","EER17NM","partyColour"
"E14000881","Poole","Sir Robert Syms MP",10.2262990776675,42.6,"Conservative","E15000009","South West","#0087DC"
"E14000882","Poplar and Limehouse","Jim Fitzpatrick MP",17.0027909234316,65.8,"Labour","E15000007","London","#DC241f"
"E14000883","Portsmouth North","Rt Hon Penny Mordaunt MP",6.70887554004437,36.3,"Conservative","E15000008","South East","#0087DC"
"E14000884","Portsmouth South","Stephen Morgan MP",10.4227974617171,48.2,"Labour","E15000008","South East","#DC241f"
"E14000885","Preston","Sir Mark Hendrick MP",5.69225809917799,44.3,"Labour","E15000002","North West","#DC241f"
"E14000886","Pudsey","Stuart Andrew MP",13.7635366498706,51.4,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000887","Putney","Rt Hon Justine Greening MP",25.9497829251639,72.2,"Conservative","E15000007","London","#0087DC"
"E14000888","Rayleigh and Wickford","Rt Hon Mark Francois MP",6.13977792292619,32.3,"Conservative","E15000006","Eastern","#0087DC"
"E14000889","Reading East","Matt Rodda MP",17.251113757664,61.7,"Labour","E15000008","South East","#DC241f"
"E14000890","Reading West","Alok Sharma MP",12.2822553099976,48.5,"Conservative","E15000008","South East","#0087DC"
"E14000891","Redcar","Anna Turley MP",3.72758820127241,32.3,"Labour","E15000001","North East","#DC241f"
"E14000892","Redditch","Rachel Maclean MP",6.85492957746479,39,"Conservative","E15000005","West Midlands","#0087DC"
"E14000893","Reigate","Crispin Blunt MP",14.8453381009527,52,"Conservative","E15000008","South East","#0087DC"
"E14000894","Ribble Valley","Mr Nigel Evans MP",8.27324145023138,41.3,"Conservative","E15000002","North West","#0087DC"
"E14000895","Richmond (Yorks)","Rishi Sunak MP",8.13150145005431,45.3,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000896","Richmond Park","Zac Goldsmith MP",28.58011235013,71.3,"Conservative","E15000007","London","#0087DC"
"E14000897","Rochdale","Tony Lloyd MP",4.59514389138095,42.5,"Labour","E15000002","North West","#DC241f"
"E14000898","Rochester and Strood","Kelly Tolhurst MP",7.37536757163373,36.3,"Conservative","E15000008","South East","#0087DC"
"E14000899","Rochford and Southend East","James Duddridge MP",7.48766437373909,39.1,"Conservative","E15000006","Eastern","#0087DC"
"E14000900","Romford","Andrew Rosindell MP",6.37331893589869,30.7,"Conservative","E15000007","London","#0087DC"
"E14000901","Romsey and Southampton North","Rt Hon Caroline Nokes MP",13.6274033268525,53.9,"Conservative","E15000008","South East","#0087DC"
"E14000902","Rossendale and Darwen","Jake Berry MP",6.93051273044248,41.1,"Conservative","E15000002","North West","#0087DC"
"E14000903","Rother Valley","Rt Hon Sir Kevin Barron MP",4.97852503666457,33.3,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000904","Rotherham","Sarah Champion MP",3.33762139696631,31.7,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000905","Rugby","Mark Pawsey MP",9.19475514851237,41.4,"Conservative","E15000005","West Midlands","#0087DC"
"E14000906","Ruislip, Northwood and Pinner","Rt Hon Nick Hurd MP",14.1616087941858,50.5,"Conservative","E15000007","London","#0087DC"
"E14000907","Runnymede and Weybridge","Rt Hon Philip Hammond MP",13.1880509867476,50.2,"Conservative","E15000008","South East","#0087DC"
"E14000908","Rushcliffe","Rt Hon Kenneth Clarke QC MP",17.3596354233339,58.5,"Conservative","E15000004","East Midlands","#0087DC"
"E14000909","Rutland and Melton","Rt Hon Sir Alan Duncan MP",10.2682524109215,46.1,"Conservative","E15000004","East Midlands","#0087DC"
"E14000910","Saffron Walden","Mrs Kemi Badenoch MP",12.7243891787528,48.8,"Conservative","E15000006","Eastern","#0087DC"
"E14000911","Salford and Eccles","Rebecca Long Bailey MP",10.6075547297508,46.4,"Labour","E15000002","North West","#DC241f"
"E14000912","Salisbury","John Glen MP",12.8335600669736,50.1,"Conservative","E15000009","South West","#0087DC"
"E14000913","Scarborough and Whitby","Rt Hon Robert Goodwill MP",6.87553071492846,38.7,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000914","Scunthorpe","Nic Dakin MP",3.80782116613643,31.3,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000915","Sedgefield","Phil Wilson MP",5.30657748049052,40.6,"Labour","E15000001","North East","#DC241f"
"E14000916","Sefton Central","Bill Esterson MP",11.7090909090909,55.9,"Labour","E15000002","North West","#DC241f"
"E14000917","Selby and Ainsty","Nigel Adams MP",8.85194338350932,42.3,"Conservative","E15000003","Yorkshire and The Humber","#0087DC"
"E14000918","Sevenoaks","Rt Hon Sir Michael Fallon MP",13.5900309531433,46,"Conservative","E15000008","South East","#0087DC"
"E14000919","Sheffield Central","Paul Blomfield MP",14.1705607476636,68.1,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000920","Sheffield South East","Mr Clive Betts MP",4.55865982460427,33.7,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000921","Sheffield, Brightside and Hillsborough","Gill Furniss MP",5.41570481110989,40,"Labour","E15000003","Yorkshire and The Humber","#DC241f"
"E14000922","Sheffield, Hallam","Jared O'Mara MP",20.3406707203739,66,"Independent","E15000003","Yorkshire and The Humber","#DDDDDD"
